Guyana,76,67,1.13,1.00,1,0.884955752212389
Armenia,89,80,1.10,1.00,1,0.909090909090909
Senegal,77,70,1.09,1.00,1,0.91743119266055
Malawi,96,90,1.07,1.00,1,0.934579439252336
"Gambia, The*",71,66,1.07,1.00,1,0.934579439252336
Bahamas,99,93,1.06,1.00,1,0.943396226415094
Mauritania,75,71,1.05,1.00,1,0.952380952380952
Lesotho,81,78,1.04,1.00,1,0.961538461538461
Kenya,85,82,1.04,1.00,1,0.961538461538461
Bangladesh,93,90,1.04,1.00,1,0.961538461538461
Tanzania,85,82,1.03,1.00,1,0.970873786407767
Namibia,89,86,1.03,1.00,1,0.970873786407767
Uganda,93,90,1.03,1.00,1,0.970873786407767
Swaziland,86,84,1.03,1.00,1,0.970873786407767
Rwanda,95,92,1.03,1.00,1,0.970873786407767
"Saudi Arabia",99,96,1.03,1.00,1,0.970873786407767
Bhutan,89,87,1.02,1.00,1,0.980392156862745
Belarus,94,92,1.02,1.00,1,0.980392156862745
Ukraine,98,97,1.02,1.00,1,0.980392156862745
Zimbabwe,95,93,1.02,1.00,1,0.980392156862745
Honduras,90,89,1.02,1.00,1,0.980392156862745
Oman,94,93,1.02,1.00,1,0.980392156862745
Ecuador,96,94,1.01,1.00,1,0.99009900990099
Portugal,96,95,1.01,1.00,1,0.99009900990099
Fiji,97,96,1.01,1.00,1,0.99009900990099
Mexico,97,95,1.01,1.00,1,0.99009900990099
Montenegro,99,98,1.01,1.00,1,0.99009900990099
Botswana,91,90,1.01,1.00,1,0.99009900990099
Indonesia,93,92,1.01,1.00,1,0.99009900990099
Georgia,97,96,1.01,1.00,1,0.99009900990099
Nicaragua,92,91,1.01,1.00,1,0.99009900990099
Canada,100,99,1.01,1.00,1,0.99009900990099
"Costa Rica",90,90,1.01,1.00,1,0.99009900990099
Israel,97,96,1.01,1.00,1,0.99009900990099
Slovenia,98,97,1.01,1.00,1,0.99009900990099
Luxembourg,93,92,1.01,1.00,1,0.99009900990099
France,99,98,1.01,1.00,1,0.99009900990099
Maldives,93,92,1.01,1.00,1,0.99009900990099
Latvia,97,96,1.01,1.00,1,0.99009900990099
Zambia,92,91,1.01,1.00,1,0.99009900990099
Iceland,98,98,1.01,1.00,1,0.99009900990099
Greece,100,99,1.01,1.00,1,0.99009900990099
Finland,99,99,1.01,1.00,1,0.99009900990099
Suriname,81,80,1.01,1.00,1,0.99009900990099
Serbia,95,95,1.00,1.00,1,1
Australia,98,97,1.00,1.00,1,1
"Russian Federation",96,96,1.00,1.00,1,1
"El Salvador",91,91,1.00,1.00,1,1
Denmark,98,98,1.00,1.00,1,1
Cyprus,98,98,1.00,1.00,1,1
Ghana,89,89,1.00,1.00,1,1
"New Zealand",98,98,1.00,1.00,1,1
Spain,99,98,1.00,1.00,1,1
Poland,97,97,1.00,1.00,1,1
Cuba,96,96,1.00,1.00,1,1
Kazakhstan,86,86,1.00,1.00,1,1
Madagascar,77,77,1.00,1.00,1,1
Chile,92,92,1.00,1.00,1,1
Belgium,98,98,1.00,1.00,1,1
Malta,95,95,1.00,1.00,1,1
Mauritius,98,98,1.00,1.00,1,1
Norway,100,100,1.00,1.00,1,1
Netherlands,97,97,1.00,1.00,1,1
Japan,100,100,1.00,1.00,64,1
Switzerland,93,93,1.00,1.00,65,1
"Macedonia, FYR",87,87,1.00,1.00,66,1
Philippines,90,90,1.00,1.00,67,1
"United Kingdom",100,100,1.00,1.00,68,1
"Sri Lanka",94,94,1.00,1.00,69,1
Bulgaria,95,95,1.00,1.00,70,1
Estonia,95,95,1.00,1.00,71,1
Sweden,99,99,1.00,1.00,72,1
"United States",91,92,1.00,1.00,73,1
"Brunei Darussalam",91,91,1.00,1.00,74,1
Jamaica,91,91,1.00,1.00,75,1
China,87,87,1.00,1.00,76,1
Ireland,95,96,1.00,1.00,77,1
Germany,97,98,1.00,1.00,78,1
Nepal,97,98,1.00,1.00,79,1
Peru,92,92,1.00,1.00,80,1
Moldova,88,88,1.00,1.00,81,1
Barbados,97,97,0.99,0.99,82,0.99
"Korea, Rep.",97,98,0.99,0.99,83,0.99
Morocco,98,99,0.99,0.99,84,0.99
Panama,90,91,0.99,0.99,85,0.99
Uruguay,99,99,0.99,0.99,86,0.99
Paraguay,80,81,0.99,0.99,87,0.99
Tunisia,98,99,0.99,0.99,88,0.99
Argentina,99,100,0.99,0.99,89,0.99
Lithuania,95,96,0.99,0.99,90,0.99
"Trinidad and Tobago",95,96,0.99,0.99,91,0.99
Italy,96,97,0.99,0.99,92,0.99
Croatia,89,90,0.99,0.99,93,0.99
Romania,85,86,0.99,0.99,94,0.99
Belize,96,97,0.99,0.99,95,0.99
Bolivia,81,82,0.99,0.99,96,0.99
Guatemala,85,86,0.99,0.99,97,0.99
Colombia,87,88,0.99,0.99,98,0.99
Bahrain,96,97,0.99,0.99,99,0.99
Turkey,94,95,0.99,0.99,100,0.99
Thailand,95,96,0.99,0.99,101,0.99
Tajikistan,95,96,0.99,0.99,102,0.99
Jordan,96,98,0.98,0.98,103,0.98
"Lao PDR",96,98,0.98,0.98,104,0.98
Hungary,90,92,0.98,0.98,105,0.98
Kuwait,91,93,0.98,0.98,106,0.98
"South Africa",89,90,0.98,0.98,107,0.98
Mongolia,94,96,0.98,0.98,108,0.98
"Iran, Islamic Rep.",96,98,0.98,0.98,109,0.98
Algeria,95,97,0.98,0.98,110,0.98
Venezuela,90,92,0.98,0.98,111,0.98
Syria,61,62,0.98,0.98,112,0.98
"Kyrgyz Republic",89,92,0.98,0.98,113,0.98
Azerbaijan,88,90,0.98,0.98,114,0.98
"United Arab Emirates",90,92,0.98,0.98,115,0.98
"Cape Verde",97,99,0.98,0.98,116,0.98
Egypt,96,98,0.97,0.97,117,0.97
Cambodia,97,100,0.97,0.97,118,0.97
India,84,87,0.97,0.97,119,0.97
"Dominican Republic",85,88,0.97,0.97,120,0.97
Malaysia,95,98,0.96,0.96,121,0.96
Albania,90,93,0.96,0.96,122,0.96
"Burkina Faso",66,69,0.96,0.96,123,0.96
Qatar,90,94,0.95,0.95,124,0.95
Liberia,37,39,0.95,0.95,125,0.95
Mozambique,85,90,0.95,0.95,126,0.95
Lebanon,90,97,0.94,0.94,127,0.94
"Côte d'Ivoire",74,80,0.93,0.93,128,0.93
Ethiopia,63,68,0.93,0.93,129,0.93
Burundi,90,100,0.90,0.90,130,0.9
Cameroon*,86,97,0.88,0.88,131,0.88
Benin*,88,100,0.88,0.88,132,0.88
Mali,64,73,0.88,0.88,133,0.88
Pakistan,67,77,0.87,0.87,134,0.87
Guinea,69,81,0.86,0.86,135,0.86
Yemen,81,95,0.85,0.85,136,0.85
Nigeria,58,69,0.84,0.84,137,0.84
Chad,75,96,0.78,0.78,138,0.78
Angola,74,97,0.77,0.77,139,0.77
Austria,"—","—","—","—","—","—"
Brazil,"—","—","—","—","—","—"
"Czech Republic","—","—","—","—","—","—"
Singapore,"—","—","—","—","—","—"
"Slovak Republic","—","—","—","—","—","—"
Vietnam,"—","—","—","—","—","—"
